# Supplementary Table 3. Transcription units (TU) defined by SEnd-seq. TUs were defined based on E. coli genome NC_000913.3 and the TSS and TTS detected in this work. The genes covered by each TU are listed.,,,,,
start,stop,strand,length,genes_number,genes_names
853136,854807,+,1672,2,mntR:ybiR
854776,855162,-,387,1,ldtB
854776,855800,-,1025,1,ldtB
850979,855800,-,4822,3,ldtB:ybiP:mntS
850979,855869,-,4891,3,mntS:ybiP:ldtB
854776,855869,-,1094,1,ldtB
855933,857718,+,1786,1,ybiT
859180,860056,-,877,1,ybiV
859180,860087,-,908,1,ybiV
864282,866394,-,2113,2,moeB:moeA
870013,870170,-,158,0,none
875492,875664,-,173,0,none
876670,878069,-,1400,1,rimO
878216,878664,+,449,1,bssR
879774,880519,-,746,1,gstB
880617,881972,+,1356,1,dacC
880670,881972,+,1303,1,dacC
881931,882763,-,833,1,deoR
881931,883505,-,1575,2,deoR:ybjG
884903,887364,-,2462,3,ybjI:ybjJ:ybjH
881931,887364,-,5434,5,ybjJ:ybjI:ybjG:ybjH:deoR
887976,888504,-,529,2,ybjL:rybB
889875,890490,+,616,1,ybjM
889887,890490,+,604,1,ybjM
887976,889945,-,1970,2,ybjL:rybB
887976,889993,-,2018,2,rybB:ybjL
890009,890490,+,482,1,ybjM
890462,890776,-,315,1,grxA
890805,892640,+,1836,3,nfsA:rimK:ybjC
890805,893478,+,2674,4,ybjC:ybjN:nfsA:rimK
890462,890845,-,384,1,grxA
890862,892640,+,1779,3,rimK:nfsA:ybjC
890862,893478,+,2617,4,rimK:nfsA:ybjC:ybjN
890891,892640,+,1750,3,ybjC:rimK:nfsA
890891,893478,+,2588,4,ybjC:ybjN:nfsA:rimK
892925,893478,+,554,1,ybjN
900690,900965,-,276,1,artM
900690,903770,-,3081,4,artM:artI:artQ:artP
900690,903843,-,3154,4,artP:artI:artQ:artM
903891,904494,-,604,1,ybjP
900690,904494,-,3805,5,artP:artQ:artI:artM:ybjP
903891,904522,-,632,1,ybjP
911141,912407,-,1267,2,hcp:hcr
911141,912500,-,1360,2,hcr:hcp
911141,913846,-,2706,2,hcr:hcp
913923,914895,-,973,1,ybjE
913923,915302,-,1380,1,ybjE
916303,918208,+,1906,1,ybjD
916439,918208,+,1770,1,ybjD
917982,919103,-,1122,1,ybjX
921910,922335,+,426,1,macB
922359,925598,+,3240,2,clpS:clpA
922302,922676,-,375,1,cspD
923077,925598,+,2522,2,clpS:clpA
925843,926048,-,206,1,serW
925843,926478,-,636,2,serW:infA
926158,926478,-,321,1,infA
925843,926684,-,842,2,serW:infA
926158,926684,-,527,1,infA
926158,927527,-,1370,3,aat:infA:cydC
925843,927527,-,1685,4,infA:aat:cydC:serW
931022,932078,-,1057,1,trxB
932327,933176,+,850,1,lrp
939247,940766,+,1520,2,serS:rarA
939352,940766,+,1415,1,serS
939364,940766,+,1403,1,serS
940822,944928,+,4107,3,dmsC:dmsB:dmsA
944237,944928,+,692,1,dmsC
944452,944928,+,477,1,dmsC
944900,945616,-,717,1,ycaC
945840,947067,+,1228,1,ycaD
946869,947067,+,199,1,ycaD
947188,948804,+,1617,1,ycaM
949643,950332,+,690,1,ycaK
949997,950332,+,336,1,ycaK
950297,951155,-,859,1,pflA
951203,952126,-,924,1,pflB
951203,954492,-,3290,2,pflB:focA
951203,954503,-,3301,2,pflB:focA
954793,956188,-,1396,1,ycaO
954793,956657,-,1865,1,ycaO
956735,958786,+,2052,2,serC:ycaP
957568,958786,+,1219,1,serC
957568,960164,+,2597,2,aroA:serC
957578,958786,+,1209,1,serC
957578,960164,+,2587,2,serC:aroA
960205,961070,+,866,1,ycaL
961162,963776,+,2615,2,cmk:rpsA
961162,964164,+,3003,3,cmk:rpsA:ihfB
961717,963776,+,2060,2,rpsA:cmk
961717,964164,+,2448,3,cmk:ihfB:rpsA
961861,963776,+,1916,2,rpsA:cmk
961861,964164,+,2304,3,rpsA:ihfB:cmk
963750,964164,+,415,1,ihfB
966593,969406,+,2814,3,lpxK:msbA:ycaQ
970643,971644,+,1002,2,kdsB:ycaR
972496,973439,-,944,1,ycbC
972496,973479,-,984,1,ycbC
973497,980816,+,7320,4,smtA:mukF:mukE:mukB
973895,980816,+,6922,4,mukF:smtA:mukE:mukB
978538,980816,+,2279,1,mukB
979939,980816,+,878,1,mukB
980275,980816,+,542,1,mukB
982931,984506,+,1576,2,ycbK:ycbL
983022,984506,+,1485,2,ycbL:ycbK
983574,984506,+,933,2,ycbK:ycbL
984355,985744,-,1390,1,aspC
984478,985744,-,1267,1,aspC
984355,987092,-,2738,2,aspC:ompF
984478,987092,-,2615,2,aspC:ompF
985839,987092,-,1254,1,ompF
987544,988165,-,622,1,asnS
987544,989044,-,1501,1,asnS
987544,989143,-,1600,1,asnS
989120,990414,-,1295,1,pncB
987544,990414,-,2871,2,pncB:asnS
989120,990447,-,1328,1,pncB
989120,990502,-,1383,1,pncB
990514,993275,+,2762,1,pepN
990590,993275,+,2686,1,pepN
997815,998465,+,651,1,elfA
1010923,1015514,+,4592,4,pqiB:pqiC:uup:pqiA
1011391,1015514,+,4124,4,pqiA:uup:pqiC:pqiB
1014973,1015514,+,542,1,pqiC
1015649,1015926,+,278,1,rmf
1015896,1016497,-,602,1,fabA
1015896,1017349,-,1454,2,ycbZ:fabA
1017843,1018998,+,1156,1,matP
1015896,1018327,-,2432,2,ycbZ:fabA
1015896,1018343,-,2448,2,fabA:ycbZ
1018458,1018998,+,541,1,matP
1018970,1020186,-,1217,1,ompA
1015896,1020186,-,4291,3,ycbZ:ompA:fabA
1018970,1020661,-,1692,2,ompA:sulA
1018970,1020949,-,1980,2,sulA:ompA
1021082,1021947,+,866,1,sxy
1024442,1026554,+,2113,1,helD
1026524,1027038,-,515,1,mgsA
1027747,1028396,+,650,1,yccU
1027747,1028475,+,729,1,yccU
1027882,1028396,+,515,1,yccU
1027882,1028475,+,594,1,yccU
1027928,1028396,+,469,1,yccU
1027928,1028475,+,548,1,yccU
1028357,1028743,-,387,1,hspQ
1028357,1028867,-,511,2,rlmI:hspQ
1029752,1030613,+,862,1,yccX
1029961,1030613,+,653,1,yccX
1028357,1029997,-,1641,2,hspQ:rlmI
1030252,1031446,-,1195,2,tusE:yccA
1030711,1031446,-,736,1,yccA
1030711,1031478,-,768,1,yccA
1030711,1031717,-,1007,2,yccA:serT
1030252,1031717,-,1466,3,yccA:tusE:serT
1041920,1042506,-,587,1,etk
1041920,1042624,-,705,1,etk
1051945,1052277,+,333,2,gnsA:ymcE
1051994,1052277,+,284,2,ymcE:gnsA
1062452,1063834,-,1383,2,cbpA:cbpM
1062452,1064037,-,1586,2,cbpA:cbpM
1065558,1066859,+,1302,1,agp
1066828,1067758,-,931,2,yccJ:wrbA
1067860,1068507,+,648,1,ymdF
1067914,1068507,+,594,1,ymdF
1066828,1067983,-,1156,2,wrbA:yccJ
1068000,1068507,+,508,1,ymdF
1068416,1068909,-,494,1,rutG
1068416,1069620,-,1205,1,rutG
1068416,1069796,-,1381,1,rutG
1068416,1070435,-,2020,3,rutE:rutG:rutF
1074096,1074916,+,821,1,rutR
1074113,1074916,+,804,1,rutR
1074124,1074916,+,793,1,rutR
1074219,1074916,+,698,1,rutR
1074879,1075642,-,764,1,putA
1074879,1075660,-,782,1,putA
1074658,1078922,-,4265,1,putA
1074879,1078922,-,4044,1,putA
1079082,1080940,+,1859,1,putP
1079168,1080940,+,1773,1,putP
1084941,1086097,+,1157,1,phoH
1097778,1100845,+,3068,4,ycdX:ghrA:ycdZ:ycdY
1097825,1100845,+,3021,4,ghrA:ycdX:ycdY:ycdZ
1098857,1100845,+,1989,3,ycdX:ycdY:ycdZ
1100295,1100845,+,551,1,ycdZ
1100774,1101268,-,495,1,csgG
1100774,1101533,-,760,1,csgG
1104235,1104947,+,713,2,csgB:csgA
1107696,1109123,-,1428,1,opgC
1109276,1113561,+,4286,2,opgH:opgG
1113530,1114212,-,683,1,msyB
1113530,1115544,-,2015,2,msyB:mdtG
1115620,1116615,-,996,1,lpxL
1113530,1116615,-,3086,3,mdtG:lpxL:msyB
1115620,1116656,-,1037,1,lpxL
1115620,1116706,-,1087,1,lpxL
1116735,1117893,+,1159,1,yceA
1116770,1117893,+,1124,1,yceA
1116926,1117893,+,968,1,yceA
1117862,1118573,-,712,2,yceI:yceJ
1117862,1119074,-,1213,2,yceI:yceJ
1119432,1120609,-,1178,2,solA:yceO
1113530,1120609,-,7080,7,yceJ:solA:mdtG:yceO:lpxL:msyB:yceI
1115620,1120609,-,4990,5,yceI:lpxL:yceO:yceJ:solA
1117862,1120609,-,2748,4,yceI:yceO:yceJ:solA
1119432,1121019,-,1588,3,bssS:yceO:solA
1120653,1121019,-,367,1,bssS
1113530,1121019,-,7490,8,mdtG:lpxL:yceI:yceJ:solA:bssS:yceO:msyB
1115620,1121019,-,5400,6,bssS:yceO:yceJ:solA:yceI:lpxL
1117862,1121019,-,3158,5,yceI:yceJ:solA:yceO:bssS
1119432,1121029,-,1598,3,bssS:yceO:solA
1120653,1121029,-,377,1,bssS
1113530,1121029,-,7500,8,mdtG:yceI:lpxL:bssS:yceO:solA:yceJ:msyB
1115620,1121029,-,5410,6,lpxL:yceI:solA:yceJ:yceO:bssS
1117862,1121029,-,3168,5,yceI:yceJ:solA:yceO:bssS
1113530,1121508,-,7979,9,bssS:yceO:yceJ:solA:msyB:dinI:mdtG:yceI:lpxL
1115620,1121508,-,5889,7,solA:yceJ:bssS:yceO:dinI:lpxL:yceI
1117862,1121508,-,3647,6,yceI:bssS:yceO:solA:yceJ:dinI
1119432,1121508,-,2077,4,solA:yceO:bssS:dinI
1120653,1121508,-,856,2,dinI:bssS
1121201,1121508,-,308,1,dinI
1113530,1122643,-,9114,10,solA:yceJ:yceO:bssS:dinI:msyB:mdtG:lpxL:pyrC:yceI
1115620,1122643,-,7024,8,yceI:pyrC:lpxL:dinI:yceO:bssS:solA:yceJ
1117862,1122643,-,4782,7,yceJ:solA:bssS:yceO:dinI:pyrC:yceI
1119432,1122643,-,3212,5,bssS:yceO:solA:dinI:pyrC
1120653,1122643,-,1991,3,bssS:dinI:pyrC
1121201,1122643,-,1443,2,pyrC:dinI
1122684,1123297,-,614,1,yceB
1113530,1123297,-,9768,11,lpxL:pyrC:yceI:yceB:mdtG:dinI:msyB:yceJ:solA:yceO:bssS
1115620,1123297,-,7678,9,yceI:pyrC:lpxL:yceB:dinI:yceO:bssS:solA:yceJ
1117862,1123297,-,5436,8,pyrC:yceI:yceB:dinI:bssS:yceO:yceJ:solA
1119432,1123297,-,3866,6,pyrC:yceB:dinI:bssS:yceO:solA
1120653,1123297,-,2645,4,yceB:pyrC:bssS:dinI
1121201,1123297,-,2097,3,dinI:yceB:pyrC
1122684,1124081,-,1398,2,yceB:grxB
1123361,1124081,-,721,1,grxB
1125466,1129410,+,3945,4,yceH:rimJ:murJ:yceM
1125521,1129410,+,3890,4,yceH:yceM:murJ:rimJ
1127782,1129410,+,1629,1,murJ
1129377,1130885,-,1509,3,flgN:flgM:flgA
1141135,1144728,-,3594,1,rne
1141135,1144762,-,3628,1,rne
1141135,1144877,-,3743,1,rne
1144939,1146009,+,1071,1,rluC
1146589,1147707,+,1119,4,rpmF:yceD:psrD:plsX
1145926,1146625,-,700,1,yceF
1146648,1147707,+,1060,4,plsX:psrD:yceD:rpmF
1145926,1146701,-,776,1,yceF
1146791,1147707,+,917,3,yceD:rpmF:plsX
1146791,1151890,+,5100,7,plsX:fabH:fabG:rpmF:yceD:acpP:fabD
1146791,1153227,+,6437,8,acpP:yceD:rpmF:fabF:fabG:fabH:plsX:fabD
1148271,1151890,+,3620,5,fabD:fabH:plsX:acpP:fabG
1148271,1153227,+,4957,6,fabG:fabF:acpP:plsX:fabH:fabD
1148389,1151890,+,3502,5,fabD:acpP:fabG:fabH:plsX
1148389,1153227,+,4839,6,fabH:plsX:fabF:acpP:fabG:fabD
1148515,1151890,+,3376,5,fabD:fabH:plsX:acpP:fabG
1148515,1153227,+,4713,6,fabF:acpP:fabG:fabH:plsX:fabD
1150924,1151890,+,967,2,fabG:acpP
1150924,1153227,+,2304,3,acpP:fabF:fabG
1150933,1151890,+,958,2,fabG:acpP
1150933,1153227,+,2295,3,fabG:acpP:fabF
1151052,1151890,+,839,2,acpP:fabG
1151052,1153227,+,2176,3,acpP:fabF:fabG
1151511,1151890,+,380,1,acpP
1151511,1153227,+,1717,2,acpP:fabF
1151575,1151890,+,316,1,acpP
1151575,1153227,+,1653,2,fabF:acpP
1151575,1157649,+,6075,7,fabF:acpP:holB:pabC:tmk:ycfH:yceG
1151575,1159351,+,7777,8,holB:pabC:ptsG:fabF:acpP:ycfH:yceG:tmk
1153280,1157649,+,4370,5,ycfH:yceG:tmk:holB:pabC
1153280,1159351,+,6072,6,tmk:yceG:ycfH:ptsG:pabC:holB
1154889,1157649,+,2761,4,tmk:yceG:ycfH:holB
1154889,1159351,+,4463,5,holB:ptsG:yceG:ycfH:tmk
1156635,1157649,+,1015,2,ycfH:holB
1157249,1157649,+,401,1,ycfH
1157628,1159351,+,1724,1,ptsG
1157767,1159351,+,1585,1,ptsG
1161824,1165731,+,3908,6,ycfP:hinT:lpoB:thiK:nagZ:ycfL
1163602,1165731,+,2130,3,ycfP:thiK:nagZ
1164943,1165731,+,789,2,ycfP:nagZ
1165015,1165731,+,717,2,nagZ:ycfP
1168155,1168862,-,708,1,ycfQ
1169018,1169401,+,384,1,bhsA
1169363,1170418,-,1056,1,ldtC
1170484,1171307,-,824,1,mfd
1170484,1173993,-,3510,1,mfd
1170484,1174028,-,3545,1,mfd
1178009,1180428,+,2420,3,nagK:lolE:cobB
1178072,1180428,+,2357,3,cobB:nagK:lolE
1178540,1180428,+,1889,3,nagK:lolE:cobB
1179209,1180428,+,1220,2,cobB:nagK
1181745,1182554,-,810,1,potD
1181745,1183036,-,1292,2,potC:potD
1181745,1183386,-,1642,2,potC:potD
1181745,1185660,-,3916,4,potA:potD:potC:potB
1185737,1187106,+,1370,1,pepT
1187073,1188265,-,1193,1,roxA
1190165,1190609,+,445,0,none
1187073,1190472,-,3400,3,phoQ:roxA:phoP
1187073,1190483,-,3411,3,phoP:roxA:phoQ
1190574,1193802,-,3229,3,purB:hflD:mnmA
1194960,1196422,+,1463,1,icd
1195007,1196422,+,1416,1,icd
1198668,1199694,+,1027,1,lit
1211597,1212125,-,529,1,iraM
1215751,1217105,+,1355,4,ycgZ:ariR:ymgA:ymgC
1218953,1219255,+,303,1,ymgF
1221437,1222295,+,859,0,none
1221695,1222295,+,601,0,none
1222263,1222562,-,300,1,ymgD
1222263,1223097,-,835,3,ymgI:ymgG:ymgD
1223573,1223943,+,371,0,none
1224225,1225647,-,1423,3,minE:minD:minC
1224225,1226139,-,1915,3,minE:minD:minC
1226451,1227065,+,615,1,ycgJ
1226480,1227065,+,586,1,ycgJ
1226480,1228771,+,2292,3,ycgJ:ycgM:ycgL
1227039,1227506,-,468,1,pliG
1227521,1228771,+,1251,2,ycgM:ycgL
1227685,1228771,+,1087,2,ycgM:ycgL
1227685,1229413,+,1729,3,ycgL:ycgM:ycgN
1228796,1229413,+,618,1,ycgN
1228804,1229413,+,610,1,ycgN
1232467,1233057,-,591,1,dsbB
1232467,1234766,-,2300,2,nhaB:dsbB
1233140,1234766,-,1627,1,nhaB
1234904,1235701,+,798,1,fadR
1235673,1237285,-,1613,1,ycgB
1236522,1237285,-,764,1,ycgB
1237508,1240087,+,2580,2,dadX:dadA
1237524,1240087,+,2564,2,dadX:dadA
1243127,1243917,+,791,1,emtA
1243127,1245029,+,1903,2,ymgE:emtA
1243175,1243917,+,743,1,emtA
1244676,1245029,+,354,1,ymgE
1247655,1250907,-,3253,3,dhaM:dhaL:dhaK
1248695,1250907,-,2213,3,dhaK:dhaM:dhaL
1252967,1253865,-,899,1,ycgV
1252967,1255172,-,2206,1,ycgV
1256635,1257882,-,1248,1,ychF
1256635,1258360,-,1726,2,pth:ychF
1256635,1258542,-,1908,2,pth:ychF
1258617,1259117,+,501,1,ychH
1258715,1259117,+,403,1,ychH
1258737,1259117,+,381,1,ychH
1259081,1259525,-,445,1,dauA
1259081,1259571,-,491,1,dauA
1259081,1262176,-,3096,3,prs:ispE:dauA
1260888,1262176,-,1289,2,ispE:prs
1260888,1262258,-,1371,2,prs:ispE
1260888,1263536,-,2649,3,prs:lolB:ispE
1270706,1271896,-,1191,1,chaA
1269621,1271896,-,2276,3,ldrC:ldrB:chaA
1270706,1271927,-,1222,1,chaA
1272094,1273243,+,1150,2,chaB:chaC
1272423,1273243,+,821,1,chaC
1273216,1273632,-,417,1,ychN
1273216,1273670,-,455,1,ychN
1273216,1273886,-,671,1,ychN
1275089,1276430,-,1342,2,narL:narX
1275089,1277686,-,2598,2,narX:narL
1275089,1277861,-,2773,2,narX:narL
1277930,1279520,+,1591,1,narK
1279806,1286569,+,6764,4,narI:narH:narJ:narG
1286712,1287014,-,303,0,none
1286890,1287014,-,125,0,none
1286712,1287665,-,954,4,tyrV:rttR:tyrT:tpr
1286890,1287665,-,776,4,tpr:tyrT:rttR:tyrV
1286712,1288753,-,2042,6,tyrT:tpr:tyrV:rttR:ychJ:purU
1286890,1288753,-,1864,6,ychJ:rttR:tyrV:purU:tpr:tyrT
1286712,1289177,-,2466,6,tpr:tyrT:ychJ:rttR:tyrV:purU
1286890,1289177,-,2288,6,tyrT:tpr:purU:ychJ:rttR:tyrV
1290176,1292419,+,2244,2,galU:rssB
1291320,1292419,+,1100,1,galU
1291405,1292419,+,1015,1,galU
1292457,1292958,-,502,1,hns
1293492,1294201,+,710,1,tdk
1293492,1294515,+,1024,1,tdk
1295323,1295860,-,538,1,adhE
1295323,1298169,-,2847,1,adhE
1298409,1299285,+,877,1,ychE
1295323,1298413,-,3091,1,adhE
1295323,1298434,-,3112,1,adhE
1298438,1299285,+,848,1,ychE
1298481,1299285,+,805,1,ychE
1299471,1306803,+,7333,5,oppC:oppF:oppB:oppA:oppD
1300693,1306803,+,6111,5,oppB:oppF:oppC:oppD:oppA
1306772,1307175,-,404,1,yciU
1306772,1308672,-,1901,2,yciU:clsA
1308962,1310349,-,1388,1,kch
1310519,1310892,-,374,1,yciI
1308962,1310892,-,1931,2,kch:yciI
1311056,1311846,+,791,1,tonB
1311814,1312274,-,461,1,yciA
1311814,1313697,-,1884,3,yciC:yciB:yciA
1313950,1314697,+,748,1,ompW
1313990,1314697,+,708,1,ompW
1314666,1316092,-,1427,3,yciF:yciE:yciG
1315787,1316092,-,306,1,yciG
1316382,1319944,-,3563,4,trpD:trpB:trpA:trpC
1323187,1327761,+,4575,4,yciQ:rluB:yciV:yciO
1322969,1323345,-,377,1,trpL
1323764,1327761,+,3998,4,yciQ:rluB:yciV:yciO
1326297,1327761,+,1465,2,yciQ:rluB
1326699,1327761,+,1063,1,rluB
1329302,1330415,+,1114,1,sohB
1330383,1330714,-,332,1,yciN
1330790,1333700,+,2911,1,topA
1330383,1330800,-,418,1,yciN
1330819,1333700,+,2882,1,topA
1330979,1333700,+,2722,1,topA
1333760,1334880,+,1121,1,cysB
1335075,1335696,+,622,2,yciX:ymiA
1335089,1335696,+,608,2,yciX:ymiA
1335780,1338550,+,2771,1,acnA
1338508,1339190,-,683,1,ribA
1338508,1339234,-,727,1,ribA
1341869,1343018,+,1150,2,pyrF:yciH
1342986,1343368,-,383,1,osmB
1342986,1343475,-,490,1,osmB
1342986,1344549,-,1564,3,osmB:yciT:yciZ
1343546,1344549,-,1004,2,yciZ:yciT
1343546,1344637,-,1092,2,yciZ:yciT
1346936,1348940,-,2005,1,rnb
1346936,1349128,-,2193,2,yciW:rnb
1349694,1350235,+,542,0,none
1346936,1351121,-,4186,3,yciW:rnb:fabI
1350207,1351121,-,915,1,fabI
1357747,1358144,-,398,1,puuP
1361051,1362514,+,1464,2,puuD:puuR
1361666,1362514,+,849,2,puuR:puuD
1368038,1368782,+,745,1,pspA
1368038,1370042,+,2005,5,pspE:pspA:pspB:pspC:pspD
1369660,1370042,+,383,1,pspE
1384068,1386622,+,2555,2,ycjF:ycjX
1384068,1388304,+,4237,3,ycjX:tyrR:ycjF
1386690,1388304,+,1615,1,tyrR
1388265,1388844,-,580,1,tpx
1393091,1394884,+,1794,1,mppA
1393117,1394884,+,1768,1,mppA
1393195,1394884,+,1690,1,mppA
1394847,1395973,-,1127,1,ynaI
1396084,1397655,+,1572,2,insH1:ynaJ
1397328,1397655,+,328,1,ynaJ
1397627,1398659,-,1033,1,uspE
1397627,1399552,-,1926,2,fnr:uspE
1398698,1399552,-,855,1,fnr
1398698,1399620,-,923,1,fnr
1398698,1400285,-,1588,3,ogt:fnr:abgT
1405657,1405751,-,95,1,mcaS
1405771,1406593,+,823,1,smrA
1405834,1406593,+,760,1,smrA
1405954,1406593,+,640,1,smrA
1406430,1407091,-,662,1,ydaM
1406430,1407869,-,1440,1,ydaM
1407960,1409249,+,1290,2,fnrS:ydaN
1408026,1409249,+,1224,2,fnrS:ydaN
1409282,1411008,+,1727,1,dbpA
1409473,1411008,+,1536,1,dbpA
1410927,1411636,-,710,1,ttcA
1410927,1412160,-,1234,2,intR:ttcA
1410927,1412319,-,1393,2,intR:ttcA
1435152,1435641,-,490,1,uspF
1435152,1435691,-,540,1,uspF
1435152,1435710,-,559,1,uspF
1437197,1440845,-,3649,1,pfo
1441022,1441599,+,578,1,ydbJ
1441259,1441771,-,513,1,hslJ
1441259,1442883,-,1625,2,hslJ:ldhA
1441819,1442883,-,1065,1,ldhA
1441819,1442950,-,1132,1,ldhA
1441819,1442981,-,1163,1,ldhA
1441259,1442981,-,1723,2,hslJ:ldhA
1443007,1446378,+,3372,3,ynbE:ydbL:ydbH
1441259,1443510,-,2252,2,hslJ:ldhA
1441819,1443510,-,1692,1,ldhA
1445617,1446378,+,762,3,ydbH:ydbL:ynbE
1447491,1449066,+,1576,1,feaB
1448518,1449066,+,549,1,feaB
1461405,1465127,+,3723,4,paaK:paaX:paaJ:paaY
1463509,1465127,+,1619,2,paaX:paaY
1470532,1474066,+,3535,0,none
1472338,1474066,+,1729,0,none
1472494,1474066,+,1573,0,none
1473258,1474066,+,809,0,none
1474146,1475119,+,974,1,ydbC
1474188,1475119,+,932,1,ydbC
1482207,1482904,-,698,1,azoR
1482207,1483002,-,796,1,azoR
1483013,1487022,+,4010,1,hrpA
1487101,1488078,+,978,1,ydcF
1487167,1488078,+,912,1,ydcF
1488192,1489709,+,1518,1,aldA
1489677,1490753,-,1077,0,none
1489677,1490799,-,1123,0,none
1490875,1492171,+,1297,3,cybB:ydcA:sokB
1491644,1492171,+,528,2,sokB:ydcA
1496777,1498551,+,1775,1,opgD
1496777,1498907,+,2131,2,ydcH:opgD
1498605,1498907,+,303,1,ydcH
1502345,1503158,+,814,1,ydcL
1502428,1503158,+,731,1,ydcL
1508789,1509088,-,300,1,yncJ
1508789,1509112,-,324,1,yncJ
1516469,1517080,+,612,1,patD
1517262,1517918,+,657,2,ydcX:ydcY
1517359,1517918,+,560,2,ydcX:ydcY
1517611,1517918,+,308,1,ydcY
1517694,1518873,-,1180,2,ydcZ:mnaT
1518998,1520094,+,1097,1,curA
1518998,1520957,+,1960,2,curA:mcbR
1520133,1520957,+,825,1,mcbR
1520928,1523094,-,2167,1,yncD
1523172,1524476,+,1305,1,yncE
1523226,1524476,+,1251,1,yncE
1524446,1525574,-,1129,1,ansP
1524446,1526094,-,1649,1,ansP
1534877,1535397,-,521,1,yddE
1534877,1535878,-,1002,1,yddE
1546253,1547206,-,954,1,yddG
1547371,1552044,+,4674,3,fdnG:fdnI:fdnH
1551705,1552044,+,340,1,fdnI
1552007,1552712,-,706,1,yddM
1552061,1552712,-,652,1,yddM
1552061,1553898,-,1838,2,yddM:adhP
1552007,1553898,-,1892,2,adhP:yddM
1553937,1555739,-,1803,1,maeA
1555766,1556047,-,282,1,sra
1553937,1556047,-,2111,2,sra:maeA
1555766,1556339,-,574,2,sra:bdm
1567445,1568850,-,1406,1,yddW
1568899,1572073,-,3175,2,gadC:gadB
1580804,1582555,-,1752,1,ydeN
1609186,1610724,-,1539,1,uxaB
1613261,1614727,-,1467,1,sad
1613261,1614845,-,1585,1,sad
1616994,1618244,+,1251,1,ydeA
1617838,1618244,+,407,1,ydeA
1618218,1618940,-,723,1,marC
1619092,1620239,+,1148,3,marR:marA:marB
1622586,1622804,+,219,1,yneM
1622816,1622915,-,100,1,mgrR
1622816,1623877,-,1062,2,mgrR:dgcZ
1625288,1625531,-,244,1,dcp
1625288,1626295,-,1008,1,dcp
1625288,1627404,-,2117,1,dcp
1627426,1628294,+,869,1,ydfG
1627426,1629076,+,1651,2,rspR:ydfG
1627490,1628294,+,805,1,ydfG
1627490,1629076,+,1587,2,ydfG:rspR
1628325,1629076,+,752,1,rspR
1629421,1629991,-,571,1,ydfI
1637557,1637846,-,290,1,gnsB
1641830,1642386,+,557,1,cspF
1642080,1642386,+,307,0,none
1642357,1642865,-,509,1,quuQ
1645028,1645901,-,874,3,hokD:relB:relE
1645028,1646235,-,1208,3,relE:hokD:relB
1646747,1647120,-,374,0,none
1646747,1647875,-,1129,1,dicC
1647930,1648368,+,439,1,dicA
1648436,1649439,+,1004,4,ydfC:dicF:ydfB:ydfA
1655217,1655706,-,490,1,ynfA
1655251,1655706,-,456,1,ynfA
1655708,1656859,+,1152,2,ynfB:speG
1655724,1656859,+,1136,2,ynfB:speG
1657538,1657913,+,376,1,ynfD
1663617,1665173,+,1557,2,dmsD:ynfH
1663911,1665173,+,1263,2,ynfH:dmsD
1664306,1665173,+,868,2,ynfH:dmsD
1666450,1666889,-,440,1,ynfK
1666450,1667270,-,821,1,ynfK
1666450,1668590,-,2141,2,ynfK:mlc
1666450,1668601,-,2152,2,mlc:ynfK
1666450,1669616,-,3167,3,ynfL:ynfK:mlc
1669661,1670996,+,1336,1,ynfM
1671915,1672819,+,905,1,ydgD
1672783,1673778,-,996,2,mdtJ:mdtI
1674941,1678014,-,3074,2,pntB:pntA
1678221,1679413,+,1193,1,ydgH
1678232,1679413,+,1182,1,ydgH
1678307,1679413,+,1107,1,ydgH
1678335,1679413,+,1079,1,ydgH
1678369,1679413,+,1045,1,ydgH
1685003,1686650,-,1648,1,fumC
1685003,1688447,-,3445,2,fumC:fumA
1686703,1688447,-,1745,1,fumA
1688544,1691403,+,2860,2,ydgA:manA
1689793,1691403,+,1611,1,ydgA
1696415,1697074,-,660,1,uidR
1696415,1698087,-,1673,2,uidR:hdhA
1697225,1698087,-,863,1,hdhA
1696415,1698122,-,1708,2,uidR:hdhA
1697225,1698122,-,898,1,hdhA
1697225,1699227,-,2003,2,malI:hdhA
1697225,1699241,-,2017,2,hdhA:malI
1699312,1703270,+,3959,3,add:malY:malX
1700839,1703270,+,2432,3,add:malX:malY
1702203,1703270,+,1068,1,add
1703231,1704331,-,1101,1,ydgJ
1712672,1714323,+,1652,1,dtpA
1714311,1715017,+,707,1,gstA
1714351,1715017,+,667,1,gstA
1714986,1717286,-,2301,2,tyrS:pdxY
1715903,1717286,-,1384,1,tyrS
1714986,1718034,-,3049,3,pdxY:tyrS:pdxH
1715903,1718034,-,2132,2,pdxH:tyrS
1715903,1719629,-,3727,4,pdxH:anmK:tyrS:mliC
1715903,1719693,-,3791,4,pdxH:anmK:mliC:tyrS
1719727,1720381,+,655,1,slyB
1719750,1720381,+,632,1,slyB
1719776,1720381,+,606,1,slyB
1719828,1720381,+,554,1,slyB
1720347,1720869,-,523,1,slyA
1720347,1720879,-,533,1,slyA
1720347,1720896,-,550,1,slyA
1720347,1721292,-,946,1,slyA
1726022,1728279,+,2258,3,nemR:nemA:gloA
1727146,1728279,+,1134,2,nemA:gloA
1727154,1728279,+,1126,2,gloA:nemA
1727799,1728279,+,481,1,gloA
1733706,1734134,-,429,1,grxD
